,bat_v,bat_i_in,bat_i_out,solar1_i,solar1_v,solar2_i,solar2_v,solar3_i,solar3_v,temp_mcu,i_pwm,panel_temp1,panel_temp2,panel_temp3,panel_temp4,panel_temp5,panel_temp6,panel_temp7,panel_temp8,panel_temp9,p31_temp1,p31_temp2,p31_temp3,p31_temp4,p31_temp5,p31_temp6,temp_brd,temp_pa,bgnd_rssi
2021-04-01 01:18:17,16601,74,56,164,1653,436,2491,154,2491,113,0,52,67,167,125,180,157,157,117,107,12,14,11,11,6,6,130,129,-106
2021-04-01 02:13:17,16605,102,56,493,1687,128,4718,128,4718,-43,0,22,-30,5,-40,-95,-135,107,-7,127,-3,-2,-3,-3,-5,-5,-41,-45,-104
2021-04-01 02:47:47,16601,76,56,481,1687,61,4115,167,4115,112,0,237,250,25,0,87,55,72,52,195,11,12,11,11,5,5,126,125,-107
2021-04-01 02:48:47,16603,76,56,350,1687,349,2515,132,2515,113,0,197,205,12,-12,67,32,110,80,267,11,12,11,11,5,5,128,126,-106
2021-04-01 02:50:47,16605,74,56,7,477,273,5581,26,5581,117,0,112,110,-20,-47,92,35,290,227,190,11,13,11,11,6,6,133,131,-105
2021-04-01 02:51:17,16581,48,56,7,336,64,6450,113,6450,117,0,105,102,-30,-57,75,22,285,227,167,11,13,11,11,6,6,135,133,-106
2021-04-01 02:54:17,16573,37,56,282,1680,90,5921,5,5921,119,0,72,70,175,145,12,-27,115,82,162,11,13,11,12,6,7,136,133,-105
2021-04-01 04:22:47,16605,78,56,40,1428,223,2613,441,2613,97,0,22,22,110,47,135,110,145,100,105,9,12,9,9,4,4,113,112,-108
2021-04-01 04:25:17,16605,72,56,263,1678,191,2570,351,2570,102,0,42,27,57,5,155,120,72,40,252,11,12,10,9,5,5,116,116,-108
2021-04-01 04:25:47,16605,73,56,47,1552,373,2499,305,2499,103,0,72,70,85,37,132,95,60,25,245,11,12,10,9,5,5,117,117,-104
2021-04-01 04:26:17,16605,75,56,10,448,431,3289,99,3289,105,0,87,77,125,90,112,70,45,12,222,10,12,10,10,5,5,118,118,-105
2021-04-01 15:06:17,16605,84,56,45,1561,463,2655,210,2655,90,0,55,37,165,125,150,127,75,52,152,10,11,9,8,3,3,103,103,-97
2021-04-01 16:39:46,16605,77,56,498,1689,149,4499,91,4499,93,0,5,-5,65,25,187,147,182,135,232,11,12,9,8,3,3,108,109,-96
2021-04-01 16:41:46,16605,80,56,12,1678,238,3991,219,3991,99,0,20,10,107,70,172,135,137,95,187,11,12,9,9,4,4,114,115,-97
2021-04-01 17:12:46,16425,10,57,45,287,0,285,289,285,0,0,-192,-210,-207,-262,-207,-252,-202,-247,-197,-5,-2,-4,-2,0,0,-6,-8,-106
2021-04-01 17:13:46,16423,10,56,48,287,0,285,289,285,0,0,-202,-220,-205,-260,-207,-250,-212,-255,-210,-6,-3,-4,-3,0,0,-12,-14,-108
2021-04-01 18:16:46,16602,96,71,122,1678,270,2982,410,2982,127,120,412,470,55,42,22,-12,145,107,142,13,16,14,15,7,7,149,144,-95
2021-04-01 18:18:16,16601,91,78,7,872,462,3536,143,3536,132,56,402,425,177,180,-5,-35,102,72,107,13,15,15,15,7,7,150,144,-94
2021-04-02 01:22:16,16599,136,81,77,1678,350,5356,142,5356,-28,85,-137,-195,-150,-230,62,-22,310,210,12,0,2,-2,-2,-4,-3,-17,-16,-108
2021-04-02 03:34:46,16602,97,78,7,658,339,3208,370,3208,186,104,415,402,375,377,-40,-92,-12,-55,160,16,16,19,18,10,10,185,179,-105
2021-04-02 03:35:16,16605,94,71,7,569,332,3104,373,3104,187,57,417,402,375,380,-40,-90,-12,-55,142,16,16,19,18,10,10,185,179,-107
2021-04-02 03:35:46,16600,93,69,7,517,318,3104,379,3104,188,69,420,405,375,382,-40,-90,-12,-55,127,16,16,20,18,10,10,186,180,-102
2021-04-02 03:36:46,16602,97,74,7,468,285,3281,388,3281,189,86,425,410,370,377,-37,-85,-12,-52,105,17,17,20,19,11,10,187,181,-109
2021-04-02 14:12:15,16603,99,77,417,1687,319,3789,110,3789,144,88,25,-17,245,107,255,185,62,15,460,15,15,13,13,8,8,156,157,-81
2021-04-02 14:14:15,16599,96,80,363,1687,313,2946,263,2946,157,63,102,25,305,200,157,85,30,-17,455,16,15,14,13,8,8,165,166,-96
2021-04-02 15:47:15,16602,98,71,205,1678,480,3144,117,3144,147,89,252,192,15,-45,20,-47,312,215,397,12,14,13,13,7,7,163,159,-92
2021-04-02 15:48:45,16604,97,78,131,1678,512,3391,87,3391,151,76,177,120,7,-55,32,-37,397,320,332,12,15,13,14,7,8,171,167,-95
2021-04-02 15:49:15,16605,96,78,108,1678,501,3097,160,3097,152,73,157,100,2,-57,55,-20,420,345,312,12,16,13,14,8,8,173,169,-99
2021-04-02 15:49:45,16597,97,77,80,1678,472,2955,237,2955,153,98,137,82,2,-60,90,5,440,362,290,13,16,13,14,8,8,175,172,-98
2021-04-02 15:50:15,16603,97,78,61,1678,437,2858,305,2858,154,97,120,65,2,-62,132,40,447,375,267,13,17,14,14,8,9,177,174,-89
2021-04-02 18:42:15,16582,93,77,496,1687,54,6504,116,6504,75,100,57,5,87,62,45,-5,62,-7,435,8,9,8,7,2,2,86,84,-107
2021-04-02 18:44:15,16590,93,70,496,1687,131,6498,65,6498,87,79,35,-7,77,42,37,-17,12,-50,467,8,9,8,7,2,2,97,95,-110
2021-04-02 18:44:45,16586,97,76,495,1687,161,6490,49,6490,89,72,35,-7,82,47,30,-27,5,-57,470,8,9,8,7,3,3,99,101,-107
2021-04-02 18:45:15,16600,104,72,490,1687,187,6333,54,6333,92,71,30,-7,92,47,20,-40,0,-65,472,9,9,8,8,3,3,102,101,-106
2021-04-02 18:47:45,16598,103,84,430,1687,124,3601,317,3601,104,86,150,45,95,45,-17,-80,-15,-65,475,8,9,8,8,3,3,113,111,-107
2021-04-02 20:18:15,16600,108,72,452,1687,118,4343,246,4343,87,68,-50,-75,12,-42,172,87,72,37,460,9,10,7,7,3,3,101,101,-104
2021-04-02 21:48:15,16566,82,80,505,1687,81,6498,73,6498,69,97,52,22,-10,-42,117,60,115,95,405,9,11,8,8,2,2,87,87,-108
2021-04-02 21:51:44,16599,108,79,437,1687,263,3741,187,3741,89,72,-10,-45,-35,-80,110,37,165,120,460,9,11,8,8,3,3,107,106,-104
2021-04-02 21:53:14,16600,109,74,400,1687,148,3563,337,3563,96,66,-27,-62,-27,-80,202,100,165,115,455,10,11,8,8,4,4,114,114,-102
2021-04-02 21:56:44,16603,101,69,324,1686,355,2914,252,2914,115,85,-32,-72,135,30,287,230,50,2,410,12,12,9,9,5,5,131,133,-109
2021-04-02 23:24:14,16600,109,83,504,1687,117,6279,123,6279,92,75,60,-5,72,35,25,-35,27,-32,477,9,9,8,8,3,3,103,102,-109
2021-04-02 23:24:44,16597,108,89,496,1687,99,5364,181,5364,95,67,75,5,67,30,17,-47,20,-37,482,9,9,8,8,3,3,106,104,-109
2021-04-02 23:28:14,16599,103,80,348,1685,409,3087,158,3087,110,107,177,90,5,-52,-22,-87,175,52,462,8,10,9,9,4,4,123,120,-107
2021-04-02 23:35:44,16601,94,72,39,1679,477,3162,180,3162,133,91,0,-55,185,102,312,285,115,57,172,14,15,12,11,7,7,150,152,-105
2021-04-03 01:10:14,16600,93,70,7,494,265,3166,413,3166,162,65,140,135,55,-7,155,80,375,302,152,14,17,15,15,9,9,176,174,-108
2021-04-03 01:11:14,16603,93,67,7,611,24,4084,482,4084,162,90,102,92,42,-17,235,177,320,267,120,14,18,15,15,9,9,178,178,-108
2021-04-03 01:12:14,16603,93,81,7,448,174,3544,437,3544,162,69,77,65,67,-2,290,250,250,202,90,15,18,15,15,10,10,178,179,-110
2021-04-03 01:13:14,16603,95,75,7,457,365,3417,285,3417,162,62,57,45,150,67,310,280,190,150,70,16,19,15,15,10,10,178,179,-107
2021-04-03 02:49:14,16500,10,77,7,327,0,331,277,331,172,87,27,10,215,197,125,75,35,-2,7,17,17,16,16,11,11,175,175,-107
2021-04-03 04:18:14,16604,90,69,7,643,492,4029,19,4029,173,83,32,10,287,242,282,245,130,85,75,18,20,16,16,11,11,187,188,-106
2021-04-03 04:20:44,16520,10,71,7,347,0,630,213,630,178,77,97,82,290,277,152,105,65,27,32,18,19,17,17,12,12,184,184,-111
2021-04-03 13:19:14,16598,102,81,425,1687,330,3915,73,3915,122,79,37,-7,10,-60,80,25,235,127,477,12,13,11,11,6,6,138,136,-96
2021-04-03 13:19:43,16599,102,81,411,1687,360,3584,100,3584,124,79,30,-17,7,-62,85,20,250,145,475,12,13,11,11,6,6,140,139,-95
